mismatch_pos,n,mae,rmse,mean_actual,mean_predicted,mean_residual
0,3,0.1483743701929212,0.17270731457395871,1.3765939999999999,1.3608460495229149,0.015747950477085215
1,3,0.10605934390517113,0.12535258080100126,1.2076653333333334,1.305680808400968,-0.09801547506763446
2,3,0.046530699352489435,0.04962829698742066,1.2111786666666666,1.186264805153577,0.024913861513089792
3,3,0.029873627781829597,0.03715247616181196,1.3188776666666666,1.3387086133643453,-0.01983094669767871
4,3,0.09468896188860161,0.1105918458445164,1.3180713333333334,1.2891823690605262,0.028888964272807034
5,3,0.10216469589479082,0.12270553159661553,1.2153326666666666,1.1853113469705738,0.030021319696092785
6,3,0.06784959087080251,0.0708965851457276,1.061274,1.1291235908708026,-0.06784959087080251
7,3,0.057822743709314915,0.06462968771993788,1.115178,1.1606938921865078,-0.04551589218650783
8,3,0.036276685510788664,0.04034943928818196,1.1009170000000001,1.0646403144892114,0.036276685510788664
9,3,0.09865853576885623,0.09926600594243727,1.1738426666666666,1.2061458737368327,-0.03230320707016617
10,3,0.05898256434321506,0.06929853752085503,1.181711,1.1227284356567848,0.05898256434321506
11,3,0.07769110708498701,0.08235562389308666,1.1505026666666667,1.1884696841074032,-0.03796701744073653
12,3,0.026207006438496494,0.039285517275871346,1.2929906666666666,1.2667836602281701,0.026207006438496494
13,3,0.03993987001098779,0.05731418786182472,1.187935,1.2222905774159354,-0.03435557741593535
14,3,0.09519359420903444,0.10108951637457124,1.2522613333333332,1.2315466076288086,0.020714725704524744
15,3,0.05545898667073631,0.06905787048526485,1.2742296666666668,1.2946915644680066,-0.020461897801339852
16,2,0.08599658072633298,0.08699179465420134,1.3440444999999999,1.2580479192736669,0.08599658072633298
